username,repo_name,stars,repu_url
ccxt,ccxt,26700,https://github.com/ccxt/ccxt
discordjs,discord.js,21500,https://github.com/discordjs/discord.js
python-telegram-bot,python-telegram-bot,20500,https://github.com/python-telegram-bot/python-telegram-bot
hubotio,hubot,16300,https://github.com/hubotio/hubot
RasaHQ,rasa,15300,https://github.com/RasaHQ/rasa
InstaPy,InstaPy,14900,https://github.com/InstaPy/InstaPy
wechaty,wechaty,14400,https://github.com/wechaty/wechaty
gunthercox,ChatterBot,12800,https://github.com/gunthercox/ChatterBot
tgbot-collection,YYeTsBot,12300,https://github.com/tgbot-collection/YYeTsBot
Rapptz,discord.py,12000,https://github.com/Rapptz/discord.py
leon-ai,leon,11600,https://github.com/leon-ai/leon
howdyai,botkit,10900,https://github.com/howdyai/botkit
botpress,botpress,10000,https://github.com/botpress/botpress
sfyc23,EverydayWechat,9300,https://github.com/sfyc23/EverydayWechat
pedroslopez,whatsapp-web.js,8400,https://github.com/pedroslopez/whatsapp-web.js
microsoft,ailab,7200,https://github.com/microsoft/ailab
microsoft,botframework-sdk,7000,https://github.com/microsoft/botframework-sdk
EZFNDEV,EZFN-Lobbybot,6900,https://github.com/EZFNDEV/EZFN-Lobbybot
yagop,node-telegram-bot-api,6700,https://github.com/yagop/node-telegram-bot-api
Mrs4s,go-cqhttp,6600,https://github.com/Mrs4s/go-cqhttp
